study,database,studyID,taxon,taxon_new,realm,climate,study_name,min_lat,max_lat,min_long,max_long,cent_lat,cent_long,mean_grain_m2,sd_grain_m2,extent_km2,start_year,end_year,n_years,duration,min_samp,max_samp,nsamp_same,sprich,sprich_range,Psprich_range,continent,ocean
mr_sfd_15,mr,sfd_15,plants,Plants,Terrestrial,Temperate,"christensen_2021_Jornada Experimental Range, USA",32.6166648864746,32.6166648864746,-106.75,-106.75,32.6166648864746,-106.75,1,0,302,1927,2016,17,90,73,80,FALSE,183,137,0.7486,North America,NA
mr_sfd_16,mr,sfd_16,plants,Plants,Terrestrial,Temperate,closset-kopp_2018_Compiegne Forest,49.3800010681152,49.3800010681152,2.88333344459534,2.88333344459534,49.3800010681152,2.88333344459534,800,0,144.14,1970,2015,2,46,5,5,TRUE,226,217,0.9602,Europe,NA
mr_sfd_18,mr,sfd_18,invertebrates,Invertebrates,Freshwater,Temperate,countryside_survey_invertebrates_2017_Scotland,57,57,-4,-4,57,-4,1000000,0,77933,1990,2007,3,18,159,160,FALSE,453,308,0.6799,Europe,NA
mr_sfd_17,mr,sfd_17,invertebrates,Invertebrates,Freshwater,Temperate,countryside_survey_invertebrates_2017_England,53,53,-1,-1,53,-1,1000000,0,130279,1998,2007,2,10,135,136,FALSE,516,351,0.6802,Europe,NA
mr_sfd_19,mr,sfd_19,invertebrates,Invertebrates,Freshwater,Temperate,countryside_survey_invertebrates_2017_Wales,52.2999992370606,52.2999992370606,-3.59999990463257,-3.59999990463257,52.2999992370606,-3.59999990463257,1000000,0,20779,1998,2007,2,10,37,37,TRUE,260,180,0.6923,Europe,NA
mr_sfd_20,mr,sfd_20,plants,Plants,Freshwater,Temperate,countryside_survey_macrophytes_2017_England,53,53,-1,-1,53,-1,1000000,0,130279,1998,2007,2,10,104,123,FALSE,118,107,0.9068,Europe,NA
mr_sfd_21,mr,sfd_21,plants,Plants,Freshwater,Temperate,countryside_survey_macrophytes_2017_Scotland,57,57,-4,-4,57,-4,1000000,0,77933,1998,2007,2,10,147,158,FALSE,138,126,0.913,Europe,NA
mr_sfd_22,mr,sfd_22,plants,Plants,Freshwater,Temperate,countryside_survey_macrophytes_2017_Wales,52.2999992370606,52.2999992370606,-3.59999990463257,-3.59999990463257,52.2999992370606,-3.59999990463257,1000000,0,20779,1998,2007,2,10,28,28,TRUE,69,59,0.8551,Europe,NA
mr_sfd_24,mr,sfd_24,plants,Plants,Terrestrial,Temperate,countryside_survey_plants_2017_Scotland,57,57,-4,-4,57,-4,1000000,0,77933,1990,2007,3,18,185,185,TRUE,918,725,0.7898,Europe,NA
mr_sfd_23,mr,sfd_23,plants,Plants,Terrestrial,Temperate,countryside_survey_plants_2017_England,53,53,-1,-1,53,-1,1000000,0,130279,1990,2007,3,18,249,286,FALSE,1140,904,0.793,Europe,NA
mr_sfd_25,mr,sfd_25,plants,Plants,Terrestrial,Temperate,countryside_survey_plants_2017_Wales,52.2999992370606,52.2999992370606,-3.59999990463257,-3.59999990463257,52.2999992370606,-3.59999990463257,1000000,0,20779,1998,2007,2,10,60,60,TRUE,652,525,0.8052,Europe,NA
mr_sfd_27,mr,sfd_27,birds,Birds,Terrestrial,Temperate,dugan_2021a_Santa Barbara Coastal LTER,34.4030494689941,34.4704666137695,-120.118614196777,-119.551582336426,34.42041854858396,-119.8259628295898,100000,0,6,2009,2019,10,11,5,5,TRUE,106,100,0.9434,North America,NA
mr_sfd_30,mr,sfd_30,invertebrates,Invertebrates,Marine,Temperate,ellingsen_2018_Ekofisk-region,56.0400009155273,57.1500015258789,2.5,3.82999992370605,56.679999958385125,3.100000013004648,0.1,0,5249.59015866718,1996,2011,6,16,10,11,FALSE,314,247,0.7866,NA,North Sea
mr_sfd_31,mr,sfd_31,birds,Birds,Terrestrial,Temperate,gaget_2021_Allier,44.5687828063965,46.9245452880859,3.03363299369812,3.89753890037537,45.71786041259766,3.412141336335076,7853.98163397448,0,4150,1991,2006,3,16,90,90,TRUE,103,102,0.9903,Europe,NA
mr_sfd_33,mr,sfd_33,birds,Birds,Terrestrial,Temperate,gaget_2021_Loire,44.7708320617676,47.8997344970703,-2.17010307312012,4.2647271156311,46.64022004483927,2.2620388315332063,7853.98163397448,0,10180,1990,2011,4,22,198,198,TRUE,112,111,0.9911,Europe,NA
mr_sfd_32,mr,sfd_32,birds,Birds,Terrestrial,Temperate,gaget_2021_Doubs,46.9126243591309,46.9394340515137,5.15587186813355,5.31089591979981,46.92822122573853,5.233538180589677,7853.98163397448,0,500,1993,2009,7,17,16,16,TRUE,77,76,0.987,Europe,NA
mr_sfd_34,mr,sfd_34,invertebrates,Invertebrates,Terrestrial,Temperate,gibb_2019_Main Camp area of the Ethabuka Reserve,-23.7666664123535,-23.7666664123535,138.466659545898,138.466659545898,-23.7666664123535,138.466659545898,0.00785398163397448,0,314.159265358979,1992,2013,5,22,5,6,FALSE,66,13,0.197,Australia,NA
mr_sfd_36,mr,sfd_36,fish,Fish,Marine,Temperate,"green_2021_Vancouver Island, Canada",48.7376861572266,48.7376861572266,-125.118644714355,-125.118644714355,48.7376861572266,-125.118644714355,12.87,13.280388548532757,0.0012,1974,2015,7,42,6,6,TRUE,24,21,0.875,NA,Pacific Ocean
mr_sfd_37,mr,sfd_37,plants,Plants,Terrestrial,Temperate,larkin_2015_Illinois,41.5,41.5,-88.5,-88.5,41.5,-88.5,4.75,0,37499.25,1976,2001,2,26,41,41,TRUE,422,350,0.8294,North America,NA
mr_sfd_38,mr,sfd_38,plants,Plants,Terrestrial,Temperate,lelli_2020_Northern Apennines,43.6900825500488,44.2075805664063,11.3626899719238,12.2318420410156,43.919799284501515,11.78336412256414,40,0,1555.94521851425,1960,2018,2,59,22,22,TRUE,317,314,0.9905,Europe,NA
mr_sfd_39,mr,sfd_39,plants,Plants,Freshwater,Polar,lindholm_2019_Kokemäenjoki watershed,61.2907371520996,61.5106430053711,23.6006641387939,24.1072425842285,61.419717011628336,23.846524768405487,398777.3508177778,555841.5405050758,27100,1950,2017,5,68,27,27,TRUE,66,66,1,Europe,NA
mr_sfd_40,mr,sfd_40,fish,Fish,Freshwater,Tropical,magalhaes_2020_Muriae Ornamental Aquaculture Center,-21.0230560302734,-20.8957500457764,-42.3676376342773,-42.2812232971191,-20.95984992980958,-42.32432785034178,400,0,61.6955631411553,2005,2015,2,11,5,5,TRUE,47,45,0.9574,South America,NA
mr_sfd_43,mr,sfd_43,fish,Fish,Freshwater,Temperate,matthews_2016_Piney Creek,36.0655097961426,36.2269096374512,-92.0844955444336,-91.9658355712891,36.137714068094894,-92.0428015391032,2500,0,140.159463727514,1972,2012,6,41,12,12,TRUE,45,43,0.9556,North America,NA
mr_sfd_45,mr,sfd_45,invertebrates,Invertebrates,Freshwater,Temperate,mushet_2017_Cottonwood Lake Study Area,47.0956993103027,47.1022987365723,-99.1044998168945,-99.0915985107422,47.0988998413086,-99.09792872837612,NA,NA,1.74736588743544,1993,2015,20,23,5,12,FALSE,142,32,0.2254,North America,NA
mr_sfd_80,mr,sfd_80,plants,Plants,Freshwater,Temperate,muthukrishnan_2019_Otter Tail,40,40,-89,-89,40,-89,9008302.395372,15128697.742407274,5127.42514348,2003,2012,2,10,4,4,TRUE,33,25,0.7576,North America,NA
mr_sfd_49,mr,sfd_49,plants,Plants,Freshwater,Temperate,muthukrishnan_2019_Becker,40,40,-89,-89,40,-89,535803.7902728,610019.8134341969,3393.97207496,2003,2012,2,10,5,5,TRUE,21,18,0.8571,North America,NA
mr_sfd_95,mr,sfd_95,plants,Plants,Terrestrial,Polar,myers-smith_2019_Herschel,69.5800018310547,69.5800018310547,-138.860000610352,-138.860000610352,69.5800018310547,-138.860000610352,1,0,0.0025,1999,2017,8,19,6,6,TRUE,41,38,0.9268,NA,Mackenzie Bay
mr_sfd_96,mr,sfd_96,plants,Plants,Terrestrial,Polar,myers-smith_2019_Komakuk,69.5800018310547,69.5800018310547,-138.869995117188,-138.869995117188,69.5800018310547,-138.869995117188,1,0,0.0025,1999,2017,8,19,6,6,TRUE,39,32,0.8205,NA,Mackenzie Bay
mr_sfd_97,mr,sfd_97,plants,Plants,Terrestrial,Temperate,price_2017_Illinois,39,39,-89,-89,39,-89,200,0,149997,2000,2915,4,916,48,48,TRUE,395,388,0.9823,North America,NA
